order_id,origin_site_id,origin_name,origin_city,origin_state,origin_zip,customer_name,delivery_city,delivery_state,delivery_zip,delivery_address,order_date,delivery_due_date,total_usd,item_count,status
ORD-10001,MFG-02,South Central DC,Dallas,TX,75213,Atlas Services,Dallas,TX,75241,3658 Oak Ave,2026-02-15,2026-03-03,18555.59,22,delivered
ORD-10002,MFG-01,Midwest Plant,Chicago,IL,60613,Crown Services,Chicago,IL,60637,3812 Parkway,2026-02-13,2026-03-02,5091.12,18,delivered
ORD-10003,MFG-04,Southeast Plant,Atlanta,GA,30367,Central Solutions,Nashville,TN,37245,107 Warehouse Rd,2026-02-16,2026-03-03,10651.97,23,shipped
ORD-10004,MFG-02,South Central DC,Dallas,TX,75221,Apex LLC,Fort Worth,TX,76122,5882 Warehouse Rd,2026-02-19,2026-03-01,18283.83,2,delivered
ORD-10005,MFG-05,West Coast DC,Los Angeles,CA,90090,Premier Co,Detroit,MI,48256,9460 Oak Ave,2026-02-14,2026-03-03,16582.39,2,delivered
ORD-10006,MFG-02,South Central DC,Dallas,TX,75258,Premier Goods,Dallas,TX,75268,5978 Oak Ave,2026-02-21,2026-03-01,16803.85,7,delivered
ORD-10007,MFG-03,Northeast Plant,Philadelphia,PA,19178,Summit Co,San Diego,CA,92130,7574 Commerce Dr,2026-02-18,2026-02-28,8208.43,22,delivered
ORD-10008,MFG-01,Midwest Plant,Chicago,IL,60650,Pioneer Corp,Fort Worth,TX,76144,1085 Oak Ave,2026-02-20,2026-03-04,16437.65,7,shipped
ORD-10009,MFG-05,West Coast DC,Los Angeles,CA,90027,Pacific Distribution,San Diego,CA,92181,8831 Industrial Blvd,2026-02-23,2026-03-03,10075.1,19,picked
ORD-10010,MFG-08,Pacific Northwest DC,Seattle,WA,98121,Pioneer Distribution,Los Angeles,CA,90024,2505 Highway 10,2026-02-23,2026-02-27,1728.66,20,shipped
ORD-10011,MFG-05,West Coast DC,Los Angeles,CA,90080,Metro Supply,New York,NY,10097,1877 Highway 10,2026-02-19,2026-03-04,8603.36,21,shipped
ORD-10012,MFG-01,Midwest Plant,Chicago,IL,60643,Elite Corp,Denver,CO,80232,8318 Main St,2026-02-20,2026-03-04,12765.42,21,picked
